Date,Open,High,Low,Close,Volume,Currency
2000-01-03,122.25,124,116.1,116.5,6640,USD
2000-01-04,116.25,120.5,115.75,116.25,5492,USD
2000-01-05,115,121,115,118.6,6165,USD
2000-01-06,119,121.4,116.5,116.85,5094,USD
2000-01-07,117.25,117.75,113.8,114.15,6855,USD
2000-01-10,123.5,126,116.7,117.55,7499,USD
2000-01-10,123.5,126,116.7,117.55,7499,USD
2000-01-11,115.5,118.25,115.5,117.8,3976,USD
2000-01-12,117.8,120.5,116.9,118.95,5184,USD
2000-01-13,119.25,120,117.5,118.55,3717,USD
2000-01-14,117.75,120.25,112.25,112.55,10115,USD
2000-01-18,111.75,118.25,110.6,115.75,7364,USD
2000-01-19,116.5,118.25,114.75,116.7,6626,USD